Site;Annee;nom_protocole;groupe_taxonomique;espece;effectifs
FRANK;2019;Transect arthropodes P1;Homoptères;Zyginidia;1
CIROB;2019;Transect arthropodes P2;Homoptères;Zyginidia;1
ALBAR;2018;Transect arthropode Session 1;Arachnida;Zygiella x-notata;1
PROMA;2018;Transect arthropode Session 1;Arachnida;Zygiella x-notata;1
GTMBA;2018;Transect arthropode Session 1;Arachnida;Zygiella x-notata;1
SEINE;2018;Transect arthropode Session 1;Arachnida;Zygiella x-notata;1
BOUTOU;2018;Transect arthropode Session 2;Arachnida;Zygiella x-notata;1
FAUTEM;2018;Transect arthropode Session 2;Arachnida;Zygiella x-notata;1
GOOPL;2017;Transect arthropode Session 1;Arachnida;Zygiella;1
ECOBIO_BOIS;2017;Transect arthropode Session 2;Arachnida;Zygiella;1
FAUTEM;2017;Transect arthropode Session 2;Arachnida;Zygiella;1
CIMOD;2017;Transect arthropode Session 2;Arachnida;Zygiella;1
ANTHEU;2018;Transect arthropode Session 1;Arachnida;Zoropsis spinimana;1
SIBUET;2018;Transect arthropode Session 1;Arachnida;Zoropsis spinimana;1
FAUTEM;2018;Transect arthropode Session 2;Arachnida;Zoropsis spinimana;1
CIROB;2018;Transect arthropode Session 2;Arachnida;Zoropsis spinimana;1
AMROU;2017;Transect arthropode Session 1;Arachnida;Zora;1
FAUTEM;2017;Transect arthropode Session 1;Mollusca;Zonitoides;1
LUAUB;2017;Transect arthropode Session 1;Arachnida;Xysticus kochi;1
EIDER;2017;Transect arthropode Session 1;Arachnida;Xysticus kochi;1
OLSER;2017;Transect arthropode Session 1;Arachnida;Xysticus kochi;1
MOZIN_SANS_GESTION;2017;Transect arthropode Session 1;Arachnida;Xysticus kochi;1
CIMOD;2017;Transect arthropode Session 2;Arachnida;Xysticus kochi;1
GTMBA;2017;Transect arthropode Session 2;Arachnida;Xysticus kochi;1
MOZIN_AVEC_GESTION;2018;Transect arthropode Session 1;Arachnida;Xysticus kochi;1
BOUTOU;2018;Transect arthropode Session 1;Arachnida;Xysticus kochi;1
EIDER;2018;Transect arthropode Session 2;Arachnida;Xysticus kochi;1
BOUTOU;2019;Transect arthropodes P1;Araneae;Xysticus kochi;1
KELLER;2019;Transect arthropodes P1;Araneae;Xysticus kochi;1
LUAUB;2019;Transect arthropodes P1;Araneae;Xysticus kochi;1
MOZIN_SANS_GESTION;2019;Transect arthropodes P1;Araneae;Xysticus kochi;1
EIDER;2018;Transect arthropode Session 1;Arachnida;Xysticus gallicus;1
PROMA;2019;Transect arthropodes P2;Araneae;Xysticus ;1
FONTA;2017;Transect arthropode Session 1;Arachnida;Xysticus;1
PROMA;2017;Transect arthropode Session 1;Arachnida;Xysticus;1
FAUTEM;2017;Transect arthropode Session 1;Arachnida;Xysticus;1
MOZIN_SANS_GESTION;2017;Transect arthropode Session 1;Arachnida;Xysticus;1
CHAVIN;2017;Transect arthropode Session 1;Arachnida;Xysticus;1
ROROL;2017;Transect arthropode Session 2;Arachnida;Xysticus;1
FRANK;2017;Transect arthropode Session 2;Arachnida;Xysticus;1
ECOBIO_BOIS;2017;Transect arthropode Session 2;Arachnida;Xysticus;1
GOOPL;2017;Transect arthropode Session 2;Arachnida;Xysticus;1
WWF;2017;Transect arthropode Session 2;Arachnida;Xysticus;1
CIMOD;2017;Transect arthropode Session 2;Arachnida;Xysticus;1
GTMBA;2017;Transect arthropode Session 2;Arachnida;Xysticus;1
PULMA;2017;Transect arthropode Session 2;Arachnida;Xysticus;1
MUENT;2017;Transect arthropode Session 2;Arachnida;Xysticus;1
ALBAR;2018;Transect arthropode Session 1;Arachnida;Xysticus;1
PROMA;2018;Transect arthropode Session 1;Arachnida;Xysticus;1
BOUTOU;2018;Transect arthropode Session 2;Arachnida;Xysticus;1
CD93;2018;Transect arthropode Session 2;Arachnida;Xysticus;1
PERIS;2018;Transect arthropode Session 2;Arachnida;Xysticus;1
GTMBA;2018;Transect arthropode Session 2;Arachnida;Xysticus;1
SEINE;2018;Transect arthropode Session 2;Arachnida;Xysticus;1
ALBAR;2018;Transect arthropode Session 2;Arachnida;Xysticus;1
ANTHEU;2018;Transect arthropode Session 2;Arachnida;Xysticus;1
CHAVIN;2018;Transect arthropode Session 2;Arachnida;Xysticus;1
CIROB;2018;Transect arthropode Session 2;Arachnida;Xysticus;1
MOZIN_SANS_GESTION;2018;Transect arthropode Session 2;Arachnida;Xysticus;1
SIBUET;2018;Transect arthropode Session 2;Arachnida;Xysticus;1
PROMA;2018;Transect arthropode Session 2;Arachnida;Xysticus;1
PROMA;2018;Plaques;Arachnida;Xysticus;1
MECHO;2018;Transect arthropode Session 2;Arachnida;Xysticus;1
CHAVIN;2019;Transect arthropodes P1;Araneae;Xysticus;1
AMROU;2019;Transect arthropodes P2;Araneae;Xysticus;1
ECOBIO_PRAIRIE;2019;Transect arthropodes P2;Araneae;Xysticus;1
PULMA;2017;Transect arthropode Session 2;Mollusca;Xerotricha conspurcata;1
AMROU;2017;Transect arthropode Session 1;Coleoptera;Xantholinus;1
GTMBA;2018;Transect arthropode Session 2;Diptera;Volucella zonaria;1
ECOBIO_BOIS;2017;Transect arthropode Session 2;Coleoptera;Vibidia duodecimguttata;1
ECOBIO_BOIS;2018;Transect arthropode Session 2;Coleoptera;Vibidia duodecimguttata;1
ECOBIO_BOIS;2019;Transect arthropodes P1;Coléoptères;Vibidia duodecimguttata;1
CIMOD;2017;Transect arthropode Session 2;Hymenoptera;Vespula vulgaris;1
CIMOD;2017;Transect arthropode Session 2;Hymenoptera;Vespula vulgaris;1
CHAVIN;2018;Transect arthropode Session 2;Hymenoptera;Vespula germanica;1
FRANK;2018;Transect arthropode Session 2;Hymenoptera;Vespula germanica;1
MOZIN_AVEC_GESTION;2018;Transect arthropode Session 2;Hymenoptera;Vespula germanica;1
GTMBA;2018;Transect arthropode Session 1;Lepidoptera;Vanessa cardui;1
CARON;2018;Transect arthropode Session 2;Lepidoptera;Vanessa cardui;1
CHAVIN;2018;Transect arthropode Session 2;Lepidoptera;Vanessa cardui;1
CHAVIN;2017;Transect arthropode Session 1;Lepidoptera;Vanessa atalanta;1
CHAVIN;2018;Transect arthropode Session 2;Lepidoptera;Vanessa atalanta;1
PROMA;2017;Transect arthropode Session 2;Mollusca;Vallonia excentrica;1
ECOBIO_BOIS;2017;Transect arthropode Session 1;Coleoptera;Valgus hemipterus;1
KELLER;2019;Transect arthropodes P1;Diptères;Urophora quadrifasciata;1
MOZIN_AVEC_GESTION;2019;Transect arthropodes P1;Homoptères;Ulopa;1
ECOBIO_PRAIRIE;2018;Transect arthropode Session 2;Coleoptera;Tytthaspis sedecimpunctata;1
FAUTEM;2017;Transect arthropode Session 1;Hymenoptera;Trypoxylon minus;1
FRANK;2017;Transect arthropode Session 2;Diptera;Trupanea amoena;1
MECHO;2019;Transect arthropodes P2;Diptères;Trupanea amoena;1
ECOBIO_PRAIRIE;2019;Transect arthropodes P2;Diptères;Trupanea;1
AMROU;2017;Transect arthropode Session 1;Mollusca;Trochulus hispidus;1
MECHO;2017;Transect arthropode Session 1;Heteroptera;Trapezonotus ullrichi;1
CD93;2018;Transect arthropode Session 2;Heteroptera;Trapezonotus ullrichi;1
RUWAT;2017;Transect arthropode Session 1;Heteroptera;Trapezonotus arenarius;1
MOZIN_SANS_GESTION;2017;Transect arthropode Session 1;Heteroptera;Trapezonotus arenarius;1
BOUHOP;2017;Transect arthropode Session 2;Heteroptera;Trapezonotus arenarius;1
WWF;2017;Transect arthropode Session 2;Heteroptera;Trapezonotus arenarius;1
WWF;2017;Plaques;Heteroptera;Trapezonotus arenarius;1
PROMA;2019;Transect arthropodes P2;Hétéroptères;Trapezonotus arenarius;1
ECOBIO_BOIS;2017;Transect arthropode Session 1;Isopoda;Trachelipus rathkii;1
PROMA;2019;Transect arthropodes P1;Diptères;Tipula sp;1
FONTA;2017;Transect arthropode Session 1;Diptera;Tipula paludosa;1
FONTA;2017;Transect arthropode Session 1;Diptera;Tipula oleracea;1
MOZIN_SANS_GESTION;2017;Transect arthropode Session 1;Arachnida;Tibellus oblongus;1
GRENEL;2019;Transect arthropodes P1;Araneae;Tibellus oblongus;1
GRENEL;2018;Transect arthropode Session 2;Arachnida;Tibellus;1
